date,high,low,open,close,volume,jdate
2022-07-12,1486950,1480250,1486950,1483535,4238822856,1401-04-21
2022-07-13,1490550,1487450,1487450,1490052,3713030356,1401-04-22
2022-07-16,1490150,1480040,1490150,1480051,4176484117,1401-04-25
2022-07-17,1480280,1468430,1480280,1469832,3451380723,1401-04-26
2022-07-19,1470710,1468650,1469790,1468893,2413418868,1401-04-28
2022-07-20,1471890,1468970,1468970,1471898,2030870621,1401-04-29
2022-07-23,1477390,1473490,1474080,1473499,3549576731,1401-05-01
2022-07-24,1473950,1463760,1473950,1463764,3653476952,1401-05-02
2022-07-25,1462860,1439260,1462860,1439417,3973888902,1401-05-03
2022-07-26,1441460,1438180,1439500,1438448,3456940908,1401-05-04
2022-07-27,1444240,1438740,1438740,1443713,2840138232,1401-05-05
2022-07-30,1449040,1440870,1444410,1440870,3190866612,1401-05-08
2022-07-31,1440510,1423100,1440510,1423497,4329691304,1401-05-09
2022-08-01,1427650,1424030,1424030,1427606,2652564405,1401-05-10
2022-08-02,1430020,1427770,1427770,1430021,2848514896,1401-05-11
2022-08-03,1437360,1430510,1430510,1437361,3680889624,1401-05-12
2022-08-06,1448920,1438860,1438860,1448923,4157196019,1401-05-15
2022-08-09,1452980,1448400,1449260,1451942,4906223988,1401-05-18
2022-08-10,1452900,1448460,1452320,1448464,3550910390,1401-05-19
2022-08-13,1467100,1451150,1451150,1467101,5239433036,1401-05-22
2022-08-14,1470230,1463650,1470230,1463654,6176494488,1401-05-23
2022-08-15,1464020,1461490,1463770,1463698,6474478937,1401-05-24
2022-08-16,1467230,1459500,1467070,1459501,7636021437,1401-05-25
2022-08-17,1460750,1451390,1460750,1451399,7264924670,1401-05-26
2022-08-20,1449960,1438810,1449960,1438819,5343986018,1401-05-29
2022-08-21,1439380,1429890,1438890,1429907,4313991576,1401-05-30
2022-08-22,1431420,1424480,1430170,1424497,5077543005,1401-05-31
2022-08-23,1431470,1424950,1424950,1431474,4845940936,1401-06-01
2022-08-24,1442400,1431670,1431670,1442373,5447693536,1401-06-02
2022-08-27,1451110,1443410,1443410,1450045,5398056604,1401-06-05
2022-08-28,1449530,1444080,1449530,1444087,5253074301,1401-06-06
2022-08-29,1446490,1444320,1444320,1445139,3917656157,1401-06-07
2022-08-30,1445770,1441210,1445610,1441217,3800683045,1401-06-08
2022-08-31,1441350,1439370,1441350,1439376,3441115707,1401-06-09
2022-09-03,1438770,1426930,1438770,1426941,4127301895,1401-06-12
2022-09-04,1427540,1426900,1427110,1426908,2885700678,1401-06-13
2022-09-05,1428860,1426770,1427560,1426780,3195781111,1401-06-14
2022-09-06,1426970,1420830,1426970,1420834,3121696533,1401-06-15
2022-09-07,1421130,1412850,1421100,1412859,3271956262,1401-06-16
2022-09-10,1412410,1397430,1412410,1397434,3692365098,1401-06-19
2022-09-11,1397410,1390730,1397410,1390732,3309090789,1401-06-20
2022-09-12,1392530,1388920,1390940,1388970,3332190140,1401-06-21
2022-09-13,1393400,1389220,1389220,1393127,3724978547,1401-06-22
2022-09-14,1394120,1389070,1393690,1389080,3142825594,1401-06-23
2022-09-18,1389010,1377910,1389010,1377918,3137217995,1401-06-27
2022-09-19,1377880,1373820,1377880,1373821,2932375350,1401-06-28
2022-09-20,1373940,1367060,1373940,1367060,2870983028,1401-06-29
2022-09-21,1366380,1355220,1366380,1355241,3064290056,1401-06-30
2022-09-24,1354480,1328180,1354480,1328186,4240968186,1401-07-02
2022-09-26,1334440,1327940,1327940,1334448,3109279792,1401-07-04
2022-09-28,1346770,1335020,1335020,1346564,3430874071,1401-07-06
2022-10-01,1346240,1330870,1346240,1330879,4388547209,1401-07-09
2022-10-02,1330480,1322020,1330480,1322026,3466361632,1401-07-10
2022-10-03,1322590,1318710,1322200,1318714,2898387484,1401-07-11
2022-10-04,1318820,1313800,1318820,1313853,2480022229,1401-07-12
2022-10-08,1318280,1314650,1314650,1316721,2963611984,1401-07-16
2022-10-09,1315900,1305070,1315900,1305083,3760512199,1401-07-17
2022-10-10,1305760,1302730,1305360,1303920,3030432152,1401-07-18
2022-10-11,1313580,1304500,1304500,1313578,3196965229,1401-07-19
2022-10-12,1319780,1313960,1313960,1319790,2842450241,1401-07-20
2022-10-15,1319980,1317890,1319830,1317894,2743719853,1401-07-23
2022-10-16,1317870,1311280,1317870,1311282,3207076004,1401-07-24
